title,details_link,location,deadline,experience
Analyst - Data Solutions,https://jobs.bdjobs.com/jobdetails/?id=1382730&ln=1&JobKeyword=Data Science,Mohakhali,31 Jul 2025,Na
Business Development Analyst (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1380825&ln=1&JobKeyword=Data Science,Banani,31 Jul 2025,1 to 3 year(s)
Sales Intern,https://jobs.bdjobs.com/jobdetails/?id=1380175&ln=1&JobKeyword=Data Science,Banani,29 Jul 2025,Na
Full Stack .NET Developer,https://jobs.bdjobs.com/jobdetails/?id=1380018&ln=1&JobKeyword=Data Science,Kawran Bazar,29 Jul 2025,3 to 5 year(s)
"Asst. Manager/ Manager, Customer Experience",https://jobs.bdjobs.com/jobdetails/?id=1379948&ln=1&JobKeyword=Data Science,Banani,29 Jul 2025,6 to 10 year(s)
"Lead, Customer Experience",https://jobs.bdjobs.com/jobdetails/?id=1379934&ln=1&JobKeyword=Data Science,Banani,29 Jul 2025,4 to 5 year(s)
Brand & Digital Martech Expert,https://jobs.bdjobs.com/jobdetails/?id=1378726&ln=1&JobKeyword=Data Science,Banani,24 Jul 2025,5 to 6 year(s)
Brand & Digital Marketing Manager,https://jobs.bdjobs.com/jobdetails/?id=1378723&ln=1&JobKeyword=Data Science,Banani,24 Jul 2025,5 to 6 year(s)
Assistant Implementation & Support Engineer,https://jobs.bdjobs.com/jobdetails/?id=1377335&ln=1&JobKeyword=Data Science,"Chattogram, Sylhet, Sreemangal",21 Jul 2025,Na
Officer - Procurement Data Analyst,https://jobs.bdjobs.com/jobdetails/?id=1387722&ln=1&JobKeyword=Data Science,Anywhere in Bangladesh,26 Jul 2025,1 to 3 year(s)
"ড্রাইভার (বাস, মাইক্রোবাস ও প্রাইভেটকার)",https://jobs.bdjobs.com/jobdetails/?id=1387119&ln=1&JobKeyword=Data Science,"Ashulia, Ashulia City",31 Jul 2025,At least 5 year(s)
Data Entry Operator (Mirpur Branch),https://jobs.bdjobs.com/jobdetails/?id=1387276&ln=1&JobKeyword=Data Science,Mirpur,19 Aug 2025,Na
Data Entry Operator (Mohakhali Branch),https://jobs.bdjobs.com/jobdetails/?id=1387273&ln=1&JobKeyword=Data Science,Mohakhali,19 Aug 2025,Na
Cambridge Curriculum Academic Coordinator,https://jobs.bdjobs.com/jobdetails/?id=1386221&ln=1&JobKeyword=Data Science,Shonir Akhra,18 Aug 2025,At least 2 year(s)
Data Enumerator,https://jobs.bdjobs.com/jobdetails/?id=1386918&ln=1&JobKeyword=Data Science,"Teknaf, Ukhia",26 Jul 2025,Na
Customer Service Executive (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1386908&ln=1&JobKeyword=Data Science,Uttara Sector 4,17 Aug 2025,Na
Junior Executive - Data Entry,https://jobs.bdjobs.com/jobdetails/?id=1386668&ln=1&JobKeyword=Data Science,Uttara,27 Jul 2025,Na
Asst. Executive- IT (Night Shift),https://jobs.bdjobs.com/jobdetails/?id=1386672&ln=1&JobKeyword=Data Science,Gulshan,16 Aug 2025,0 to 1 year(s)
Associate Professor (FLS),https://jobs.bdjobs.com/jobdetails/?id=1386518&ln=1&JobKeyword=Data Science,Chattogram,15 Aug 2025,At least 7 year(s)
Professor (FLS),https://jobs.bdjobs.com/jobdetails/?id=1386516&ln=1&JobKeyword=Data Science,Chattogram,15 Aug 2025,At least 12 year(s)
Electrical Estimator,https://jobs.bdjobs.com/jobdetails/?id=1386169&ln=1&JobKeyword=Data Science,Anywhere in Bangladesh,15 Aug 2025,At least 3 year(s)
